id,happiness
8001,3.7436221837997437
8002,2.924179196357727
8003,3.3568522334098816
8004,4.272653579711914
8005,3.5447002053260803
8006,4.202865958213806
8007,3.8195207715034485
8008,4.448082625865936
8009,4.056113421916962
8010,3.103344202041626
8011,2.993252158164978
8012,3.7291988134384155
8013,4.059720933437347
8014,3.7553128004074097
8015,3.634244203567505
8016,4.501005589962006
8017,3.7057490944862366
8018,4.368511140346527
8019,3.8959436416625977
8020,4.018963158130646
8021,3.982683479785919
8022,3.669538736343384
8023,3.879226565361023
8024,3.7415258288383484
8025,3.22160404920578
8026,4.0268731117248535
8027,4.256328880786896
8028,4.150150895118713
8029,4.325344026088715
8030,4.1442254185676575
8031,3.9366601705551147
8032,4.169045448303223
8033,4.139550089836121
8034,3.451842486858368
8035,3.4929118156433105
8036,4.73293137550354
8037,4.086068093776703
8038,4.1297789216041565
8039,3.4257434010505676
8040,4.097618341445923
8041,4.24229496717453
8042,3.720780372619629
8043,3.713358223438263
8044,3.8742966651916504
8045,4.158619403839111
8046,3.8060818314552307
8047,4.18039482831955
8048,4.050593376159668
8049,3.8900583386421204
8050,4.509445369243622
8051,3.747261643409729
8052,4.2737151980400085
8053,3.0088821053504944
8054,3.9964213967323303
8055,4.225514590740204
8056,2.9189292192459106
8057,3.9568602442741394
8058,3.172654092311859
8059,3.1155914664268494
8060,4.105410397052765
8061,3.134728789329529
8062,3.581494629383087
8063,3.966082990169525
8064,4.088602185249329
8065,4.050352036952972
8066,4.237639307975769
8067,4.084024965763092
8068,4.079984366893768
8069,3.5295093655586243
8070,4.013425767421722
8071,3.9938440322875977
8072,4.378558337688446
8073,3.7676178216934204
8074,3.906863212585449
8075,3.207353711128235
8076,3.746049463748932
8077,3.770000457763672
8078,3.6755276322364807
8079,4.466170310974121
8080,3.9686022996902466
8081,3.901467204093933
8082,3.9245983958244324
8083,4.451546788215637
8084,4.490410566329956
8085,4.298640251159668
8086,4.355683505535126
8087,3.900037407875061
8088,4.208177626132965
8089,3.6795068979263306
8090,3.805566906929016
8091,4.279360413551331
8092,4.055108308792114
8093,4.18611067533493
8094,4.230997979640961
8095,4.64618593454361
8096,3.2567321062088013
8097,4.2408605217933655
8098,3.9542497396469116
8099,3.561090111732483
8100,3.9817556142807007
8101,4.094122231006622
8102,4.074118912220001
8103,3.623924195766449
8104,4.543161690235138
8105,3.899140238761902
8106,4.1628692746162415
8107,4.183444976806641
8108,4.0389434695243835
8109,3.7921058535575867
8110,3.710972309112549
8111,4.278974890708923
8112,3.6715880036354065
8113,4.004893720149994
8114,4.676755428314209
8115,3.9396161437034607
8116,3.9908196330070496
8117,3.7273510098457336
8118,3.826366364955902
8119,3.969142436981201
8120,4.580142438411713
8121,3.0408108830451965
8122,4.077901482582092
8123,3.657589912414551
8124,3.750572919845581
8125,4.1504852175712585
8126,4.592195630073547
